Date,Close
2009-05-01,877.52001953125
2009-05-04,907.239990234375
2009-05-05,903.7999877929688
2009-05-06,919.530029296875
2009-05-07,907.3900146484375
2009-05-08,929.22998046875
2009-05-11,909.239990234375
2009-05-12,908.3499755859375
2009-05-13,883.9199829101562
2009-05-14,893.0700073242188
2009-05-15,882.8800048828125
2009-05-18,909.7100219726562
2009-05-19,908.1300048828125
2009-05-20,903.469970703125
2009-05-21,888.3300170898438
2009-05-22,887.0
2009-05-26,910.3300170898438
2009-05-27,893.0599975585938
2009-05-28,906.8300170898438
2009-05-29,919.1400146484375
2009-06-01,942.8699951171875
2009-06-02,944.739990234375
2009-06-03,931.760009765625
2009-06-04,942.4600219726562
2009-06-05,940.0900268554688
2009-06-08,939.1400146484375
2009-06-09,942.4299926757812
2009-06-10,939.1500244140625
2009-06-11,944.8900146484375
2009-06-12,946.2100219726562
2009-06-15,923.719970703125
2009-06-16,911.969970703125
2009-06-17,910.7100219726562
2009-06-18,918.3699951171875
2009-06-19,921.22998046875
2009-06-22,893.0399780273438
2009-06-23,895.0999755859375
2009-06-24,900.9400024414062
2009-06-25,920.260009765625
2009-06-26,918.9000244140625
2009-06-29,927.22998046875
2009-06-30,919.3200073242188
2009-07-01,923.3300170898438
2009-07-02,896.4199829101562
2009-07-06,898.719970703125
2009-07-07,881.030029296875
2009-07-08,879.5599975585938
2009-07-09,882.6799926757812
2009-07-10,879.1300048828125
2009-07-13,901.0499877929688
2009-07-14,905.8400268554688
2009-07-15,932.6799926757812
2009-07-16,940.739990234375
2009-07-17,940.3800048828125
2009-07-20,951.1300048828125
2009-07-21,954.5800170898438
2009-07-22,954.0700073242188
2009-07-23,976.2899780273438
2009-07-24,979.260009765625
2009-07-27,982.1799926757812
2009-07-28,979.6199951171875
2009-07-29,975.1500244140625
2009-07-30,986.75
2009-07-31,987.47998046875
2009-08-03,1002.6300048828125
2009-08-04,1005.6500244140625
2009-08-05,1002.719970703125
2009-08-06,997.0800170898438
2009-08-07,1010.47998046875
2009-08-10,1007.0999755859375
2009-08-11,994.3499755859375
2009-08-12,1005.8099975585938
2009-08-13,1012.72998046875
2009-08-14,1004.0900268554688
2009-08-17,979.72998046875
2009-08-18,989.6699829101562
2009-08-19,996.4600219726562
2009-08-20,1007.3699951171875
2009-08-21,1026.1300048828125
2009-08-24,1025.5699462890625
2009-08-25,1028.0
2009-08-26,1028.1199951171875
